Activity,id
Swimming,2022.06.28
Swimming,2022.06.22
Boogie boarding,2022.12.24
Floating in inflatable pool ring,2022.02.05
Surfing,2021.09.05
Surfing,2021.07.19
Surfing,2021.07.05
Swimming,2021.06.26
Surfing,2021.05.18
Body boarding,2021.04.13
Kayaking,2021.02.02.a
Fishing,2021.01.22.b
Snorkeling,2021.01.21
Swimming,2020.12.30
Surfing,2020.12.06.a
Foil-boarding,2020.09.16.b
Surfing,2020.09.07
Fishing / Filming sharks feeding on whale carcass,2020.08.30.b
Kayak fishing,2020.08.28
Surfing,2020.08.14
Surfing,2020.07.31.a
Sightseeing,2020.07.29
Swimming,2020.07.27.a
Fishing,2020.07.17
Surfing,2020.07.11
Surfing,2020.06.07
Surfing,2020.05.09
Kayak fishing,2020.03.14.R
Surfing,2020.02.22
Scuba diving,2020.01.05
Fishing,2019.12.20
Kayaking fishing,2019.11.09
Kayak fishing,2019.10.25
Surfing,2019.10.05.b
Kayaking,2019.10.05.a
Scuba diving,2019.07.17.R
Surfing,2019.07.10
Surfing,2019.05.07
Fishing,2018.11.11.b
Diving / Filming,2018.10.23.a
Surfing,201810.19.a
Spearfishing,2018.10.13
Diving,2018.09.29
Fishing,2018.09.27
Boogie boarding,2018.09.15
Swimming,2018.08.15.a
Paddling,2018.06.25
Surfing,2018.04.24
Surf-skiing,2018.04.22
Surfing,2018.04.02
Free diving,2018.01.13
Spearfishing,2017.11.24
Kayaking / Fishing,2017.10.22
Surfing,2017.09.25.a
Surfing,2017.09.10.a
Surfing,2017.08.29
SUP,2017.08.23
Fishing,2017.08.01
SUP,2017/07.20.a
Kayaking,2017.07.20.b
Surfing,2017.07.14.b
Kayaking,2017.07.11
Surfing,2017.07.07
Body boarding,2017.06.11
Surfing,2017.04.17.a
Kayaking,2017.03.18
Fishing,2017.02.01.b
Surf skiing,2016.12.19
Surfing,2016.12.01
Cage Diving,2016.10.13.R
Surfing,2016.09.26
Spearfishing,2016.09.01
Kite surfing,2016.07.15.b
Fishing,2016.07.08
Fishing,2016.07.07.a
Spearfishing,2016.06.23
Surfing,2016.05.31
Surf-skiing,2016.04.22
Fishing,2015.12.26
Fishing,2015.12.13
Surfing,2015.10.25
Kayak fishing,2015.09.24
Stand-Up Paddleboarding,2015.09.06
Surf-skiing,2015.09.04
Surfing,2015.08.29.b
Surfing,2015.08.29.a
Kayak Fishing,2015.08.18.b
Surfing,2015.07.31
Scallop diving on hookah,2015.07.25
Surfing,2015.07.19
Surfing,2015.07.10
Surfing,2015.07.03
Body boarding,2015.07.02
Body Boarding,2015.06.27.a
Surfing,2015.06.26.b
Surfing,2015.06.24.a
Surf skiing,2015.04.24.c
Surfing,2015.05.03
Diving,2015.05.02
Surfing,2015.04.25
Kayak Fishing,2015.03.26
Transatlantic Rowing,2015.02.15
Fishing,2015.01.19.b
Spearfishing,2014.12.29.a
Surfing,2014.12.28.b
Fishing,2014.11.19
Kayaking,2014.10.03.b
Kayaking,2014.10.03.a
Kayaking,2014.09.03
Surfing,2014.08.01
Swimming,2014.07.05.b
Surfing,2014.05.14
Shark watching,2014.04.12.R
Filming a documentary,2014.00.00
Surfing,2013.12.16
Swimming / snorkeling,2013.10.11
Diving for Abalone,2013.10.08
Surfing,2013.10.05
Surfing,2013.08.17
Kayaking / Fishing,2013.06.25.c
Swimming,2013.02.27
Fishing,2013.01.26
Surfing,2012.10.23
Surfing,2012.07.31.a
Surfing,2012.07.14
Surf skiing,2012.06.03
Kayaking / Fishing,2012.05.12
Paddle boarding,2012.05.06
Body boarding,2012.04.19.a
Kayaking,2012.04.11
Scuba diving,2012.03.31
Crayfishing,2012.03.22
Fishing,2012.02.20
Surfing,2012.01.18.a
Surfing,2012.01.13
