Country,id
SOUTH AFRICA,2022.06.28
USA,2022.06.22
USA,2022.12.24
AUSTRALIA,2022.02.05
AUSTRALIA,2021.09.05
AUSTRALIA,2021.07.19
AUSTRALIA,2021.07.05
USA,2021.06.26
AUSTRALIA,2021.05.18
SOUTH AFRICA,2021.04.13
USA,2021.02.02.a
USA,2021.01.22.b
AUSTRALIA,2021.01.21
USA,2020.12.30
AUSTRALIA,2020.12.06.a
AUSTRALIA,2020.09.16.b
AUSTRALIA,2020.09.07
AUSTRALIA,2020.08.30.b
USA,2020.08.28
AUSTRALIA,2020.08.14
AUSTRALIA,2020.07.31.a
AUSTRALIA,2020.07.29
USA,2020.07.27.a
AUSTRALIA,2020.07.17
AUSTRALIA,2020.07.11
AUSTRALIA,2020.06.07
USA,2020.05.09
NEW ZEALAND,2020.03.14.R
NEW ZEALAND,2020.02.22
AUSTRALIA,2020.01.05
AUSTRALIA,2019.12.20
SOUTH AFRICA,2019.11.09
USA,2019.10.25
AUSTRALIA,2019.10.05.b
USA,2019.10.05.a
NEW ZEALAND,2019.07.17.R
SOUTH AFRICA,2019.07.10
USA,2019.05.07
SOUTH AFRICA,2018.11.11.b
USA,2018.10.23.a
NEW ZEALAND,201810.19.a
AUSTRALIA,2018.10.13
USA,2018.09.29
USA,2018.09.27
USA,2018.09.15
USA,2018.08.15.a
USA,2018.06.25
AUSTRALIA,2018.04.24
SOUTH AFRICA,2018.04.22
SOUTH AFRICA,2018.04.02
AUSTRALIA,2018.01.13
USA,2017.11.24
AUSTRALIA,2017.10.22
AUSTRALIA,2017.09.25.a
AUSTRALIA,2017.09.10.a
AUSTRALIA,2017.08.29
USA,2017.08.23
USA,2017.08.01
USA,2017/07.20.a
USA,2017.07.20.b
USA,2017.07.14.b
USA,2017.07.11
SOUTH AFRICA,2017.07.07
AUSTRALIA,2017.06.11
AUSTRALIA,2017.04.17.a
USA,2017.03.18
USA,2017.02.01.b
SOUTH AFRICA,2016.12.19
AUSTRALIA,2016.12.01
MEXICO,2016.10.13.R
AUSTRALIA,2016.09.26
USA,2016.09.01
USA,2016.07.15.b
USA,2016.07.08
USA,2016.07.07.a
SOUTH AFRICA,2016.06.23
AUSTRALIA,2016.05.31
SOUTH AFRICA,2016.04.22
SOUTH AFRICA,2015.12.26
AUSTRALIA,2015.12.13
SOUTH AFRICA,2015.10.25
USA,2015.09.24
USA,2015.09.06
AUSTRALIA,2015.09.04
USA,2015.08.29.b
USA,2015.08.29.a
USA,2015.08.18.b
AUSTRALIA,2015.07.31
AUSTRALIA,2015.07.25
SOUTH AFRICA,2015.07.19
USA,2015.07.10
AUSTRALIA,2015.07.03
AUSTRALIA,2015.07.02
SOUTH AFRICA,2015.06.27.a
SOUTH AFRICA,2015.06.26.b
AUSTRALIA,2015.06.24.a
AUSTRALIA,2015.04.24.c
AUSTRALIA,2015.05.03
SOUTH AFRICA,2015.05.02
AUSTRALIA,2015.04.25
SOUTH AFRICA,2015.03.26
ATLANTIC OCEAN,2015.02.15
USA,2015.01.19.b
AUSTRALIA,2014.12.29.a
USA,2014.12.28.b
AUSTRALIA,2014.11.19
USA,2014.10.03.b
USA,2014.10.03.a
USA,2014.09.03
SOUTH AFRICA,2014.08.01
USA,2014.07.05.b
AUSTRALIA,2014.05.14
SOUTH AFRICA,2014.04.12.R
NEW ZEALAND,2014.00.00
SOUTH AFRICA,2013.12.16
SOUTH AFRICA,2013.10.11
AUSTRALIA,2013.10.08
USA,2013.10.05
USA,2013.08.17
USA,2013.06.25.c
NEW ZEALAND,2013.02.27
AUSTRALIA,2013.01.26
USA,2012.10.23
AUSTRALIA,2012.07.31.a
AUSTRALIA,2012.07.14
AUSTRALIA,2012.06.03
USA,2012.05.12
USA,2012.05.06
SOUTH AFRICA,2012.04.19.a
AUSTRALIA,2012.04.11
AUSTRALIA,2012.03.31
AUSTRALIA,2012.03.22
SOUTH AFRICA,2012.02.20
AUSTRALIA,2012.01.18.a
USA,2012.01.13
