Year,Date,Type,Country,Activity,Sex ,Fatal (Y/N),Species ,,id
2022,6/28/2022,Unprovoked,SOUTH AFRICA,Swimming,M,Y,Great White Shark,,2022.06.28
2022,6/22/2022,Unprovoked,USA,Swimming,M,N,Great White Shark,,2022.06.22
2022,2/26/2022,Unprovoked,USA,Boogie boarding,M,Y,Great White Shark,,2022.12.24
2022,2/5/2022,Unprovoked,AUSTRALIA,Floating in inflatable pool ring,F,N,Great White Shark,,2022.02.05
2021,9/5/2021,Unprovoked,AUSTRALIA,Surfing,M,Y,Great White Shark,,2021.09.05
2021,7/19/2021,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2021.07.19
2021,7/5/2021,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2021.07.05
2021,6/26/2021,Unprovoked,USA,Swimming,M,N,Great White Shark,,2021.06.26
2021,5/18/2021,Unprovoked,AUSTRALIA,Surfing,M,Y,Great White Shark,,2021.05.18
2021,4/13/2021,Unprovoked,SOUTH AFRICA,Body boarding,M,Y,Great White Shark,,2021.04.13
2021,2/2/2021,Watercraft,USA,Kayaking,M,N,Great White Shark,,2021.02.02.a
2021,1/22/2021,Watercraft,USA,Fishing,M,N,Great White Shark,,2021.01.22.b
2021,1/21/2021,Unprovoked,AUSTRALIA,Snorkeling,M,Y,Great White Shark,,2021.01.21
2020,12/30/2020,Unprovoked,USA,Swimming,M,N,Great White Shark,,2020.12.30
2020,12/6/2020,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2020.12.06.a
2020,9/16/2020,Unprovoked,AUSTRALIA,Foil-boarding,M,N,Great White Shark,,2020.09.16.b
2020,9/7/2020,Unprovoked,AUSTRALIA,Surfing,M,Y,Great White Shark,,2020.09.07
2020,8/30/2020,Watercraft,AUSTRALIA,Fishing / Filming sharks feeding on whale carcass,M,N,Great White Shark,,2020.08.30.b
2020,8/28/2020,Unprovoked,USA,Kayak fishing,M,N,Great White Shark,,2020.08.28
2020,8/14/2020,Unprovoked,AUSTRALIA,Surfing,F,N,Great White Shark,,2020.08.14
2020,7/31/2020,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2020.07.31.a
2020,7/29/2020,Watercraft,AUSTRALIA,Sightseeing,M,UNKNOWN,Great White Shark,,2020.07.29
2020,7/27/2020,Unprovoked,USA,Swimming,F,Y,Great White Shark,,2020.07.27.a
2020,7/17/2020,Unprovoked,AUSTRALIA,Fishing,M,N,Great White Shark,,2020.07.17
2020,7/11/2020,Unprovoked,AUSTRALIA,Surfing,M,Y,Great White Shark,,2020.07.11
2020,6/7/2020,Unprovoked,AUSTRALIA,Surfing,M,Y,Great White Shark,,2020.06.07
2020,5/9/2020,Unprovoked,USA,Surfing,M,Y,Great White Shark,,2020.05.09
2020,3/14/2020,Provoked,NEW ZEALAND,Kayak fishing,M,N,Great White Shark,,2020.03.14.R
2020,2/22/2020,Unprovoked,NEW ZEALAND,Surfing,M,N,Great White Shark,,2020.02.22
2020,1/5/2020,Unprovoked,AUSTRALIA,Scuba diving,M,Y,Great White Shark,,2020.01.05
